date,title,institution,lat,lon,location
2009-07-01,School,,51.58838018697568,-1.3917832406303279,"West Lockinge"
2009-09-01,BSc Hons (start),University of Exeter,50.17084538737568,-5.125292804491534,"Penryn"
2011-08-01,Study Abroad,University of Southern Mississippi,31.328738650432193,-89.33026931250136,"Hattiesburg"
2012-09-01,BSc Hons (end),University of Exeter,50.17084538737568,-5.125292804491534,"Penryn"
2013-09-01,PhD,Massey University,-40.38669097141416,175.61875199328242,"Palmerston North"
2017-04-01,Returned home,,51.58838018697568,-1.3917832406303279,"West Lockinge"
2018-01-01,Postdoctoral Research Associate,Oregon State University,44.62253674621624,-124.04541853131322,"Newport"
2019-10-01,Postdoctoral Fellow,University of Otago,-45.86719016149034,170.5089347957245,"Dunedin"
2021-12-01,Research Scientist,Fonterra Research and Development Centre,-40.379979752784664,175.61470524948197,"Palmerston North"
2023-06-01,Marine Biosecurity Scientist,Earth Sciences New Zealand,-41.30209004145225,174.80494556824877,"Wellington"
